species,factor,value,score
Picea sitchensis,at,550,0.2
Picea sitchensis,at,775,0.5
Picea sitchensis,at,975,0.75
Picea sitchensis,at,1200,0.9
Picea sitchensis,at,1475,1
Picea sitchensis,at,1800,1
Picea sitchensis,at,2100,1
Picea sitchensis,at,2400,0.9
Picea sitchensis,at,2700,0.75
Picea sitchensis,at,3000,0.5
Picea abies,at,550,0.1
Picea abies,at,775,0.5
Picea abies,at,975,0.75
Picea abies,at,1200,1
Picea abies,at,1475,1.15
Picea abies,at,1800,1.2
Picea abies,at,2100,1.1
Picea abies,at,2400,0.95
Picea abies,at,2700,0.75
Picea abies,at,3000,0.5
Pinus sylvestris,at,550,0.3
Pinus sylvestris,at,775,0.6
Pinus sylvestris,at,975,0.85
Pinus sylvestris,at,1200,1
Pinus sylvestris,at,1475,1
Pinus sylvestris,at,1800,1
Pinus sylvestris,at,2100,1
Pinus sylvestris,at,2400,1
Pinus sylvestris,at,2700,1
Pinus sylvestris,at,3000,1
Pinus nigra ssp. Laricio,at,550,0
Pinus nigra ssp. Laricio,at,775,0.1
Pinus nigra ssp. Laricio,at,975,0.3
Pinus nigra ssp. Laricio,at,1200,0.5
Pinus nigra ssp. Laricio,at,1475,0.75
Pinus nigra ssp. Laricio,at,1800,1
Pinus nigra ssp. Laricio,at,2100,1.1
Pinus nigra ssp. Laricio,at,2400,1.2
Pinus nigra ssp. Laricio,at,2700,1.1
Pinus nigra ssp. Laricio,at,3000,1
Pinus contorta,at,550,0.3
Pinus contorta,at,775,0.5
Pinus contorta,at,975,0.75
Pinus contorta,at,1200,1
Pinus contorta,at,1475,1.1
Pinus contorta,at,1800,1.13
Pinus contorta,at,2100,1.1
Pinus contorta,at,2400,1
Pinus contorta,at,2700,0.75
Pinus contorta,at,3000,0.5
Pinus peuce,at,550,0.5
Pinus peuce,at,775,0.75
Pinus peuce,at,975,1.1
Pinus peuce,at,1200,1.1
Pinus peuce,at,1475,1.1
Pinus peuce,at,1800,1.1
Pinus peuce,at,2100,1.1
Pinus peuce,at,2400,1.1
Pinus peuce,at,2700,0.9
Pinus peuce,at,3000,0.75
